split,s_mm,s_over_L,p_kpa,x_mm,y_mm
train,66.10878661087865,0.3305439330543933,59.0,62.24178583189467,19.479280878713777
train,74.47698744769875,0.37238493723849375,59.0,69.16096124333589,24.183909712958894
train,82.84518828451883,0.4142259414225941,59.0,75.815516355388,29.256157480090703
train,91.2133891213389,0.45606694560669453,59.0,82.20547331563397,34.65813670422589
train,99.58158995815899,0.49790794979079495,59.0,88.3351026562928,40.3539729028153
train,107.94979079497908,0.5397489539748954,59.0,94.2124331247085,46.3099545007533
train,116.31799163179916,0.5815899581589958,59.0,99.84878731518339,52.494605990250605
train,124.68619246861924,0.6234309623430963,59.0,105.25834770130948,58.878693975735544
train,133.05439330543933,0.6652719665271967,59.0,110.45775580492887,65.43517525044653
train,141.4225941422594,0.7071129707112971,59.0,115.46574562885998,72.13909541640012
train,149.7907949790795,0.7489539748953975,59.0,120.3028111120337,78.96744583843348
train,158.15899581589957,0.7907949790794979,59.0,124.9909062193474,85.89898596400475
train,166.52719665271965,0.8326359832635982,59.0,129.55317533323105,92.91403728348305
train,174.89539748953973,0.8744769874476986,59.0,134.01371084739503,99.99425448367381
train,183.2635983263598,0.9163179916317991,59.0,138.39733425356144,107.12237868679466
train,191.63179916317992,0.9581589958158996,59.0,142.729396538641,114.28197708893013
train,200.0,1.0,59.0,147.035593354562,121.45717283220763
val,0.0,0.0,66.0,7.340712303079026e-16,4.3389073237151635e-23
val,7.531380753138075,0.03765690376569038,66.0,7.522181405492677,0.3227483524816106
val,15.899581589958158,0.0794979079497908,66.0,15.81585621180618,1.4152651413156518
val,24.26778242677824,0.1213389121338912,66.0,23.980157104071743,3.239274300344565
val,32.63598326359833,0.16317991631799164,66.0,31.9608809868441,5.748229967542389
val,41.004184100418406,0.20502092050209203,66.0,39.71342253217615,8.892862787549529
val,49.37238493723849,0.24686192468619247,66.0,47.20235047282117,12.622499231218061
val,57.74058577405857,0.28870292887029286,66.0,54.40086160469087,16.886193737845815
val,66.10878661087865,0.3305439330543933,66.0,61.29015003064689,21.633676431293654
val,74.47698744769875,0.37238493723849375,66.0,67.85872432947758,26.816123932143718
val,82.84518828451883,0.4142259414225941,66.0,74.10170038410364,32.38676426842489
val,91.2133891213389,0.45606694560669453,66.0,80.02009275316104,38.30132923614726
val,99.58158995815899,0.49790794979079495,66.0,85.62012286894529,44.51836894595572
val,107.94979079497908,0.5397489539748954,66.0,90.91255809484058,50.999443881251096
val,116.31799163179916,0.5815899581589958,66.0,95.91209184010665,57.70920974640174
val,124.68619246861924,0.6234309623430963,66.0,100.63677154032786,64.61540984932728
val,133.05439330543933,0.6652719665271967,66.0,105.10747837352184,71.6887888738704
val,141.4225941422594,0.7071129707112971,66.0,109.34746008113902,78.90294077057649
val,149.7907949790795,0.7489539748953975,66.0,113.38191617245575,86.23410222958364
val,158.15899581589957,0.7907949790794979,66.0,117.23763307365672,93.66090187988223
val,166.52719665271965,0.8326359832635982,66.0,120.94266539770474,101.16407405378678
val,174.89539748953973,0.8744769874476986,66.0,124.5260584146981,108.72614471910025
val,183.2635983263598,0.9163179916317991,66.0,128.01760595255558,116.33109605738026
val,191.63179916317992,0.9581589958158996,66.0,131.44763731529486,123.96401518811145
val,200.0,1.0,66.0,134.84682633622566,131.6107317302442
val,0.0,0.0,73.0,-7.190351209008326e-15,1.074359104770855e-22
val,7.531380753138075,0.03765690376569038,73.0,7.520127462279902,0.3569307341055542
val,15.899581589958158,0.0794979079497908,73.0,15.797190176673174,1.564455385740076
val,24.26778242677824,0.1213389121338912,73.0,23.916184766387612,3.5781404358356945
val,32.63598326359833,0.16317991631799164,73.0,31.811202203610698,6.343386468173481
